# Directed graph: concatenated_motifs.txt 
# Nodes: 32 Edges: 69
# FromNodeId	ToNodeId
2	68
11	15
11	75
15	13
15	65
12	13
13	14
47	48
47	78
40	62
48	78
56	72
58	59
58	73
59	11
59	58
59	73
60	47
60	75
60	76
61	74
62	63
62	64
62	65
63	62
63	64
63	65
63	66
64	60
64	62
64	63
64	65
65	62
65	63
65	64
66	77
67	78
67	79
68	58
68	59
68	73
69	58
69	61
69	74
70	60
70	75
70	76
71	66
71	77
72	67
72	78
72	79
73	58
73	59
73	68
74	61
74	69
75	60
75	76
76	60
76	70
76	75
77	66
77	71
78	67
78	79
79	67
79	72
79	78
